Country,Life exp,Cases,Deaths,Recovered,Cases_per_1M,Deaths_per_1M,Tests,Tests_per_1M,Population,GDP 2019,Health_expenses_pc_2018,Region
Switzerland,83.4,4211438,14237,4067389.0,478519,1618,22653313,2573950,8800991,715.36,8114.0,Central Europe
Spain,83.2,13488015,114858,13276258.0,288226,2454,471036328,10065601,46796640,1397.87,3576.0,PIGS
Italy,83.0,23443429,178846,22766314.0,389062,2968,252113248,4184012,60256343,2001.44,3624.0,PIGS
Norway,82.6,1464381,4208,1458885.0,265321,762,11002430,1993455,5519276,417.627,6818.0,Nordics
France,82.5,36707566,156700,35548536.0,559503,2388,271490188,4138101,65607429,2707.07,5250.0,Western Europe
Sweden,82.4,2608289,20531,2565703.0,254594,2004,19031688,1857676,10244889,528.929,5828.0,Nordics
Luxembourg,82.4,297757,1133,288991.0,458414,1744,4412567,6793393,649538,69.453,6048.0,Western Europe
Iceland,82.3,206356,213,,595778,615,1996384,5763832,346364,23.918,5113.0,Nordics
Malta,81.9,115294,808,113716.0,259518,1819,2075757,4672371,444262,14.859,3897.0,Med
Netherlands,81.8,8505321,22784,8396938.0,493849,1323,21107399,1225570,17222523,902.355,5635.0,Western Europe
Ireland,81.8,1670377,7972,1655594.0,329764,1574,12772203,2521478,5065364,384.94,5897.0,Western Europe
Germany,81.7,35461920,153193,33693200.0,420148,1815,122332384,1449378,84403340,3863.34,6098.0,Central Europe
Portugal,81.6,5518155,25209,5462562.0,544841,2489,45059939,4449046,10128001,236.408,3242.0,PIGS
Finland,81.6,1348737,6568,1300180.0,242552,1181,11648041,2094739,5560618,269.654,4457.0,Nordics
Austria,81.6,5416866,20943,5317029.0,593614,2295,199898283,21906114,9125228,447.718,5879.0,Central Europe
Belgium,81.4,4607296,32883,4500366.0,393576,2809,35892441,3066093,11706248,517.609,5405.0,Western Europe
United Kingdom,81.4,23855522,192682,23489089.0,347188,2804,522526476,7604743,68710603,2743.59,4620.0,Western Europe
Denmark,81.3,3135163,7312,3116986.0,536902,1252,128616570,22025792,5839362,347.176,5794.0,Nordics
Slovenia,81.3,1230970,6878,1204689.0,591927,3307,2764154,1329176,2079599,54.154,3158.0,Balkans
Greece,81.1,5135200,33574,5032553.0,498301,3258,96922532,9405009,10305416,214.012,2340.0,PIGS
Czech Republic,79.1,4155504,41555,4101853.0,386382,3864,56458320,5249539,10754911,246.953,3041.0,Central Europe
Estonia,78.9,606498,2739,524990.0,456495,2062,3572132,2688650,1328597,31.038,2428.0,Baltics
Croatia,78.6,1245552,17109,1225319.0,307789,4228,5297531,1309074,4046778,60.702,1876.0,Balkans
Poland,78.3,6338531,118095,5335940.0,167905,3128,37613685,996368,37750804,565.854,2015.0,Central Europe
Slovakia,78.2,1852048,20586,1828088.0,338846,3766,7329564,1340998,5465755,106.552,2180.0,Central Europe
Albania,78.0,332847,3592,327678.0,115953,1251,1941032,676192,2870534,15.418,697.0,Balkans
Bosnia and Herzegovina,76.8,399811,16169,377551.0,123640,5000,1872224,578978,3233672,20.106,1301.0,Balkans
Hungary,76.4,2141513,47938,2061999.0,222989,4992,11394556,1186480,9603662,170.407,2115.0,Central Europe
Lithuania,76.0,1267094,9387,1246835.0,480945,3563,10220776,3879450,2634594,53.641,2313.0,Baltics
Montenegro,75.9,282472,2785,279214.0,449617,4433,2646063,4211799,628250,5.424,1711.0,Balkans
Serbia,75.9,2400037,17209,2359490.0,277267,1988,11326775,1308539,8656046,51.523,1485.0,Balkans
Romania,75.6,3285394,67174,3210662.0,173452,3546,25429389,1342543,18941213,243.698,1576.0,Eastern Europe
Latvia,75.4,950668,6048,936065.0,517218,3290,7746372,4214474,1838040,35.045,1896.0,Baltics
Bulgaria,75.1,1276765,37853,1229021.0,187000,5544,10688418,1565469,6827614,66.25,1634.0,Balkans
North Macedonia,74.8,343964,9561,334162.0,165115,4590,2139011,1026803,2083176,12.672,1073.0,Balkans
Belarus,74.8,994037,7118,985592.0,105277,754,13646641,1445291,9442139,62.572,1132.0,Eastern Europe
Moldova,73.3,593246,11887,504142.0,147857,2963,3216305,801612,4012295,11.688,480.0,Eastern Europe
Russia,73.2,21402209,389872,20763904.0,146511,2669,273400000,1871589,146079111,1637.89,1488.0,Eastern Europe
Ukraine,73.0,5296254,110008,5120414.0,122807,2551,32603805,756000,43126727,150.401,683.0,Eastern Europe
