Country,Life exp,Deaths,Deaths_per_M,Population,GDP_pc,Recovery_rate,Region
Spain,1,0.596101348,0.442640693,0.681068685,0.393069847,0.988008474,Southern Europe
Italy,0.997596154,0.928192566,0.535353535,0.876958437,0.437076465,0.974775518,Southern Europe
Norway,0.992788462,0.021839092,0.137445887,0.080326409,0.995689836,1,Nordics
France,0.991586538,0.813257076,0.430735931,0.954837043,0.542955309,0.972073621,Western Europe
Sweden,0.990384615,0.106553804,0.361471861,0.14910201,0.67937215,0.987378573,Nordics
Iceland,0.989182692,0.001105448,0.110930736,0.00504091,0.908677412,0.974216238,Nordics
Netherlands,0.983173077,0.118246645,0.238636364,0.250653062,0.689442852,0.99097629,Western Europe
Ireland,0.983173077,0.04137387,0.283910534,0.073720267,1,0.994883822,Western Europe
Portugal,0.980769231,0.130832148,0.448953824,0.147400846,0.307153912,0.993654744,Southern Europe
Finland,0.980769231,0.034087253,0.213023088,0.080928092,0.638118629,0.967629802,Nordics
Belgium,0.978365385,0.170659428,0.506673882,0.170370328,0.58183751,0.980470986,Western Europe
United Kingdom,0.978365385,1,0.505772006,1,0.525427826,0.988348883,Western Europe
Denmark,0.977163462,0.037948537,0.225829726,0.084984875,0.782351489,0.997947634,Nordics
Slovenia,0.977163462,0.035696121,0.596500722,0.030266057,0.342664062,0.982337,Balkans
Greece,0.974759615,0.174245648,0.587662338,0.149982907,0.273268904,0.983703057,Southern Europe
Croatia,0.944711538,0.088793971,0.762626263,0.058895976,0.197383678,0.987461861,Balkans
Bosnia and Herzegovina,0.923076923,0.083915467,0.901875902,0.047062198,0.081817712,0.947881206,Balkans
Montenegro,0.912259615,0.014453867,0.799603175,0.009143421,0.113606924,0.992189923,Balkans
Romania,0.908653846,0.348626234,0.63961039,0.275666523,0.169301885,0.980934829,Eastern Europe
Bulgaria,0.902644231,0.196453223,1,0.099367691,0.12768343,0.966231877,Balkans
North Macedonia,0.899038462,0.049620618,0.827922078,0.030318116,0.080045481,0.975162736,Balkans
Moldova,0.881009615,0.061692322,0.534451659,0.058394117,0.038332308,0.853004039,Eastern Europe
Ukraine,0.877403846,0.570930341,0.460137085,0.627657525,0.0458904,0.97044136,Eastern Europe
