,Casablanca,Marrakech,Port Elizabeth,Cape Town,Country
Dakar,2322,2114,7073,6606,Senegal
Ziguinchor,2496,2282,6810,6339,Senegal
Kaolack,2323,2110,6933,6473,Senegal
Tripoli,1932,1993,7544,7448,Libya
Sirte,2282,2328,7308,7245,Libya
Benghazi,2583,2643,7370,7345,Libya
Cairo ,3671,3730,7143,7242,Egypt
Aswan,4057,4082,6500,6630,Egypt
Luxor,3962,3996,6675,6798,Egypt
Beira,7452,7321,1814,2253,Mozambique
Chimoio,7302,7169,1824,2221,Mozambique
Inchope,7310,7177,1834,2234,Mozambique
Nairobi,6047,5970,3815,4103,Kenya
Malindi,6460,6387,3734,4088,Kenya
Mombasa,6488,6411,3629,3982,Kenya
Kinshasa,4856,4699,3463,3307,DRC
Kikwit,5115,4969,3292,3213,DRC
Kenge,4915,4750,3369,3169,DRC
Sohar,6247,6318,7269,7347,Oman
Muscat,6436,6507,7277,7666,Oman
Sur,6589,6658,7237,7640,Oman
